year,percentage_female,percentage_notwhite,position
1929,6.2626887345686555,36.59855560399592,Director or Department Head
1930,82.79218159150332,7.4305873131379485,Director or Department Head
1931,41.144181438721716,78.44627897720784,Director or Department Head
1932,30.872046411968768,29.043955984525383,Director or Department Head
1933,62.75535561144352,85.77064573764801,Director or Department Head
1934,44.1429152386263,87.77686303947121,Director or Department Head
1935,42.074681422673166,60.23085236083716,Director or Department Head
1936,35.449468810111284,13.989922846667469,Director or Department Head
1937,21.524477214552462,90.4079427709803,Director or Department Head
1938,46.51218086946756,89.97463234700263,Director or Department Head
1939,81.4907513326034,5.567248840816319,Director or Department Head
1940,32.5362617848441,95.60353204142302,Director or Department Head
1941,11.10768427606672,22.013532556593418,Director or Department Head
1942,90.8838793868199,13.49008094985038,Director or Department Head
1943,19.50963584240526,60.98539661616087,Director or Department Head
1944,19.548611831851304,26.68408800382167,Director or Department Head
1945,50.840628263540566,25.10797050781548,Director or Department Head
1946,23.47476410213858,38.53715255390853,Director or Department Head
1947,64.28404005710036,84.52581111341715,Director or Department Head
1948,73.68012759834528,40.17717281822115,Director or Department Head
1949,61.16991825401783,33.29113160725683,Director or Department Head
1950,48.61754521261901,26.812017848715186,Director or Department Head
1951,22.77501195203513,29.196615354157984,Director or Department Head
1952,50.14883419498801,62.2107861796394,Director or Department Head
1953,11.880595656111836,3.558264975436032,Director or Department Head
1954,56.171627971343696,46.60139612387866,Director or Department Head
1955,0.2705143764615059,9.278098307549953,Director or Department Head
1956,48.34066163748503,50.281205237843096,Director or Department Head
1957,77.46224673464894,98.20370774250478,Director or Department Head
1958,46.85054065193981,47.49126399401575,Director or Department Head
1959,92.62743494473398,28.112474200315773,Director or Department Head
1960,36.50630181655288,7.089145062491298,Director or Department Head
1961,63.891025399789214,43.875215481966734,Director or Department Head
1962,75.251947180368,8.618194167502224,Director or Department Head
1963,30.89389018714428,70.6549089634791,Director or Department Head
1964,39.825635869055986,45.64187009818852,Director or Department Head
1965,57.38289086148143,50.48294411972165,Director or Department Head
1966,81.67688890825957,40.78006250783801,Director or Department Head
1967,37.45567717123777,56.70825440902263,Director or Department Head
1968,73.27898803632706,45.523425843566656,Director or Department Head
1969,93.50070687942207,34.006954240612686,Director or Department Head
1970,20.868988917209208,25.671854615211487,Director or Department Head
1971,6.369513156823814,56.95047585759312,Director or Department Head
1972,68.83711258415133,24.275192874483764,Director or Department Head
1973,64.18085091281682,37.23881354089826,Director or Department Head
1974,79.55020926892757,31.391809228807688,Director or Department Head
1975,47.761234641075134,48.7819098867476,Director or Department Head
1976,60.91686971485615,16.59265540074557,Director or Department Head
1977,0.5431315628811717,89.54918426461518,Director or Department Head
1978,63.53370065335184,2.6590278139337897,Director or Department Head
1979,18.537310045212507,95.88447522837669,Director or Department Head
1980,22.764051100239158,19.28284305613488,Director or Department Head
1981,25.076715904287994,7.35601088963449,Director or Department Head
1982,2.971078851260245,11.67746908031404,Director or Department Head
1983,85.8715140959248,39.02274644933641,Director or Department Head
1984,64.51535678934306,81.17170312907547,Director or Department Head
1985,70.21115517709404,91.0127155482769,Director or Department Head
1986,5.28759453445673,37.309304950758815,Director or Department Head
1987,83.42108461074531,59.12576711270958,Director or Department Head
1988,83.28609052114189,44.81800626963377,Director or Department Head
1989,74.18050144333392,10.778718790970743,Director or Department Head
1990,23.904808168299496,99.03766214847565,Director or Department Head
1991,4.582871217280626,58.334831218235195,Director or Department Head
1992,86.3389756064862,99.25277447327971,Director or Department Head
1993,52.83956038765609,34.718548972159624,Director or Department Head
1994,49.608394829556346,8.373361662961543,Director or Department Head
1995,60.8736737864092,23.063757177442312,Director or Department Head
1996,8.50636602845043,46.90226465463638,Director or Department Head
1997,79.78223792742938,68.29345484729856,Director or Department Head
1998,93.08371809311211,96.42443684861064,Director or Department Head
1999,76.43726610112935,42.64066519681364,Director or Department Head
2000,63.658984820358455,83.96767235826701,Director or Department Head
2001,23.945942940190434,76.95126624312252,Director or Department Head
2002,39.202675968408585,30.258338851854205,Director or Department Head
2003,47.68271290231496,41.91712981555611,Director or Department Head
2004,25.999850500375032,97.23463417030871,Director or Department Head
2005,10.895103705115616,33.70184465311468,Director or Department Head
2006,52.42626094259322,83.14112932421267,Director or Department Head
2007,75.78819554764777,59.839112241752446,Director or Department Head
2008,18.094639061018825,62.05171977635473,Director or Department Head
2009,32.90704824030399,50.417249323800206,Director or Department Head
2010,56.559562240727246,62.993647856637836,Director or Department Head
2011,45.980471977964044,43.60875426791608,Director or Department Head
2012,77.01857585925609,96.08870667871088,Director or Department Head
2013,93.47082460299134,63.2150987861678,Director or Department Head
2014,80.42380518745631,37.851548730395734,Director or Department Head
2015,73.2324232114479,72.62431494891644,Director or Department Head
2016,95.09650259278715,12.839266145601869,Director or Department Head
2017,69.63362982496619,52.39438395947218,Director or Department Head
2018,14.929420687258244,90.21050566807389,Director or Department Head
2019,45.27273294515908,28.534551500342786,Director or Department Head
2020,91.429862822406,60.787271964363754,Director or Department Head
2021,30.3190860664472,66.41240145545453,Director or Department Head
2022,68.54312375653535,66.04306297376752,Director or Department Head
2023,71.09560500830412,16.781620238907635,Director or Department Head
